"","BTC/IDR","BTC/IDR","Luno","03/29/2021","Jual","1000000000.00000000","815.091.000","03/29/2021","814.694.000","1,22%","Rp100.000.000.000.000,00"
"","BTC/EUR","BTC/EUR","Kraken","03/29/2021","Beli","1000000.00000000","47.514,6","03/29/2021","47.459,9","-0,12%","-Rp928.450.464.391,78"
"","BTC/GBP","BTC/GBP","Coinbase Pro","03/29/2021","Jual","100000000.00000000","40.520,8","03/29/2021","40.580,5","-1,47%","-Rp118.785.090.173.070,00"
"","Bitcoin","BTC/USD","Investing.com","03/29/2021","Beli","1000000000.00000000","56.006,4","03/29/2021","55.995,1","-0,02%","-Rp163.624.000.000.040,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/29/2021","Jual","1000000000.00000000","813.009.962","03/29/2021","812.394.115","0,08%","Rp100.000.000.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/29/2021","Beli","10000000.00000000","55.881,8","03/29/2021","56.001,1","0,21%","Rp17.274.640.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/29/2021","Jual","1000000.00000000","815.091.000","03/29/2021","815.091.000","0,00%","-Rp14.417,50"
"","BTC/IDR","BTC/IDR","Luno","03/29/2021","Jual","10000000.00000000","815.982.000","03/29/2021","815.091.000","0,11%","Rp8.910.000.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/29/2021","Jual","20000000.00000000","815.092.000","03/29/2021","815.091.000","0,00%","Rp20.000.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/29/2021","Jual","1000000.00000000","815.092.000","03/29/2021","815.091.000","0,00%","Rp1.000.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/29/2021","Jual","4000000.00000000","815.091.000","03/29/2021","815.091.000","0,00%","Rp0,00"
"","ETH/XAU","ETH/XAU","Synthetic","03/29/2021","Jual","800000.00000000","0,98311","03/29/2021","0,98144","0,17%","Rp325.938.041,60"
"","BTC/IDR","BTC/IDR","Luno","03/29/2021","Jual","1000000.00000000","816.000.000","03/29/2021","815.091.000","0,11%","Rp908.999.985.582,50"
"","ETH/XAU","ETH/XAU","Synthetic","03/28/2021","Jual","1000000000.00000000","0,98025","03/28/2021","0,97461","0,58%","Rp1.375.965.984.000,00"
"","BTC/USD","BTC/USD","Bitfinex","03/28/2021","Jual","1000000000.00000000","55.798,4","03/28/2021","55.754,0","0,08%","Rp642.912.000.000.014,50"
"","BTC/IDR","BTC/IDR","Luno","03/28/2021","Jual","1000000.00000000","815.051.000","03/28/2021","815.052.000","-0,00%","-Rp1.000.014.417,50"
"","BTC/IDR","BTC/IDR","Luno","03/28/2021","Jual","1000000.00000000","819.650.000","03/28/2021","815.051.000","0,56%","Rp4.599.000.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/28/2021","Jual","500000.00000000","819.650.000","03/28/2021","815.051.000","0,56%","Rp2.299.500.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/28/2021","Jual","1000.00000000","819.650.000","03/28/2021","815.051.000","0,56%","Rp4.599.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/28/2021","Jual","1000.00000000","819.650.000","03/28/2021","815.051.000","0,56%","Rp4.599.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/28/2021","Jual","1000.00000000","819.650.000","03/28/2021","815.051.000","0,56%","Rp4.599.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/28/2021","Jual","1000.00000000","819.650.000","03/28/2021","815.051.000","0,56%","Rp4.599.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/28/2021","Jual","1000.00000000","819.650.000","03/28/2021","815.051.000","0,56%","Rp4.599.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/28/2021","Jual","10000.00000000","819.650.000","03/28/2021","815.051.000","0,56%","Rp45.990.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/28/2021","Jual","5000.00000000","819.650.000","03/28/2021","815.051.000","0,56%","Rp22.995.000.000,00"
"","BTC/EUR","BTC/EUR","Binance","03/28/2021","Jual","10000.00000000","47.472,6","03/28/2021","47.473,6","-0,00%","-Rp169.735.000,00"
"","BTC/USD","BTC/USD","Bitfinex","03/28/2021","Jual","10000.00000000","55.958,0","03/28/2021","55.955,0","0,01%","Rp434.400.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/28/2021","Beli","2000000.00000000","56.113,1","03/28/2021","56.238,8","0,22%","Rp3.640.271.985.520,15"
"","BTC/IDR","BTC/IDR","Luno","03/28/2021","Jual","10000000.00000000","816.499.000","03/28/2021","819.650.000","-0,39%","-Rp31.510.000.057.670,00"
"","Bitcoin","BTC/USD","Investing.com","03/28/2021","Beli","2000000.00000000","56.187,9","03/28/2021","56.195,2","0,01%","Rp211.407.985.519,87"
"","BTC/IDR","BTC/IDR","Luno","03/28/2021","Jual","100000000.00000000","816.690.000","03/28/2021","815.101.000","0,19%","Rp100.000.000.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/28/2021","Beli","200000000.00000000","56.193,9","03/28/2021","56.169,3","-0,04%","-Rp71.241.600.057.916,00"
"","BTC/EUR","BTC/EUR","Binance","03/28/2021","Jual","200000000.00000000","47.673,5","03/28/2021","47.717,5","-0,09%","-Rp149.366.800.057.570,00"
